reward,loss,terminated,truncated,duration
57.0,453.9981172359715,False,True,480.26916551589966
89.0,243.543358909494,False,True,552.3342640399933
89.0,210.0157582034005,False,True,527.3798542022705
124.0,287.3865735397938,False,True,494.67018723487854
100.0,448.0971907267838,False,True,575.5689208507538
96.0,389.50036443027886,False,True,574.7673933506012
50.0,440.5311414201154,False,True,594.3287174701691
94.0,386.6007586003494,False,True,576.9581482410431
85.0,457.2888821226829,False,True,584.6372857093811
93.0,668.5070153154378,False,True,600.7637186050415
110.0,544.4720249826056,False,True,564.4410676956177
68.0,746.4478218967733,False,True,587.6937787532806
86.0,765.853790299114,False,True,608.1460375785828
149.0,548.5288254514211,False,True,617.2422475814819
62.0,316.30920081390207,False,True,596.7869217395782
80.0,377.7247379478722,False,True,591.1344344615936
63.0,722.5446864629993,False,True,525.5300493240356
108.0,685.6240725755436,False,True,506.6679124832153
109.0,845.9293650744207,False,True,590.8140685558319
81.0,316.9025947258352,False,True,617.4043941497803
149.0,412.5183021583636,False,True,543.6353604793549
73.0,312.4041897931656,False,True,592.1604826450348
148.0,379.2799387590526,False,True,900.7560567855836
143.0,678.3807501712055,False,True,866.3332116603851
151.0,480.8118578168293,False,True,597.6288118362427
178.0,428.456010400518,False,True,561.0908074378967
132.0,302.1048386161253,False,True,568.2642920017242
92.0,257.3647108985472,False,True,577.7410345077515
149.0,227.31933147708776,False,True,664.9054164886475
107.0,180.05103047159406,False,True,539.4450514316559
153.0,311.1910498286804,False,True,520.4273223876953
119.0,188.56589588612763,False,True,583.9202923774719
159.0,278.0808036522089,False,True,659.3028571605682
131.0,170.56481414897414,False,True,622.7797608375549
160.0,211.21868912896696,False,True,629.6224830150604
112.0,183.54872446299885,False,True,608.2444751262665
111.0,164.83192591255445,False,True,607.8338718414307
173.0,160.76112106932007,False,True,614.4590175151825
154.0,143.70872141600006,False,True,629.6373736858368
119.0,147.27443412162552,False,True,462.5794236660004
173.0,179.93259258824543,False,True,640.6828565597534
156.0,162.7312789606749,False,True,642.5364274978638
110.0,157.8894260831554,False,True,640.5569648742676
115.0,150.354666114283,False,True,638.4621284008026
128.0,163.59797468483907,False,True,638.7921733856201
168.0,210.6849763959112,False,True,645.0098118782043
99.0,135.7591917309623,False,True,811.3688857555389
116.0,108.708682731141,False,True,538.7321810722351
